fen,result
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 69 107",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 73 109",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 77 111",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 81 113",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 85 115",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 89 117",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 93 119",0.5
"r1bqkb1r/1p1ppppp/2n2n2/p1p5/Q1P4P/2N2N2/PP1PPPP1/R1B1KB1R w KQkq - 1 7",0.0
"r2qkb1r/3ppppp/bpn2n2/p1p4P/Q1P5/2N2NP1/PP1PPP2/R1B1KB1R w KQkq - 1 9",0.0
"r2qkb1r/1b1ppppp/1p3n2/p1p4P/QnP5/1PN2NP1/P2PPP2/R1BK1B1R w kq - 3 11",0.0
"rq2kb1r/3ppppp/1pb2n2/p1p4P/1nP5/QPN2NP1/P2PPPB1/R1BK3R w kq - 7 13",0.0
"r3kb1r/3pppp1/1p1q3p/pPp4P/1n2n3/QP3NP1/PB1PPPB1/R2K1R2 w kq - 2 17",0.0
"r3kb1r/3pppp1/1p5p/pPp4P/1n1Nq3/QP4P1/PB1PPP2/R2K1R2 w kq - 0 19",0.0
"r3kb1r/4ppp1/1p5p/pPpp3q/Q7/1P3PP1/PBKPP3/R4R2 w kq - 0 23",0.0
"r3kb1r/4ppp1/1p5p/1Ppp4/p5P1/1P4P1/PBKPP3/R4R2 w kq - 0 25",0.0
"4kb1r/4ppp1/1p5p/rPppB3/6P1/pP4P1/P2PP3/R1K2R2 w k - 2 27",0.0
"4kb1r/4p1p1/1p3p1p/1rpp4/6P1/pPB1P1P1/P2P4/R1K2R2 w k - 0 29",0.0
